LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,pabs_eDNA,weight_total_kg,pabs_trawl
Merluccius productus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,3,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.774,1
Merluccius productus,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,13.704,1
Merluccius productus,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Merluccius productus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,39.702,1
Microstomus pacificus,13,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,14,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,15,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,16,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,3,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,4,only eDNA,only eDNA,only eDNA,1,0,0
Microstomus pacificus,9,only eDNA,only eDNA,only eDNA,1,0,0
Odontopyxis trispinosa,2,only eDNA,only eDNA,only eDNA,1,0,0
Oligocottus maculosus/snyderi,10,only eDNA,only eDNA,only eDNA,1,0,0
Oligocottus maculosus/snyderi,4,only eDNA,only eDNA,only eDNA,1,0,0
Oncorhynchus gorbuscha,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.152,1
Oncorhynchus gorbuscha,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.76,1
Oncorhynchus gorbuscha,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,4,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,6,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus gorbuscha,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,1,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.338,1
Oncorhynchus keta,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,2,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,4,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,5,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,6,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus keta,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus keta,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.344,1
Oncorhynchus kisutch,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.564,1
Oncorhynchus kisutch,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.852,1
Oncorhynchus kisutch,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.188,1
Oncorhynchus kisutch,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus kisutch,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.034,1
Oncorhynchus kisutch,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus mykiss,16,only eDNA,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,1,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,182.836,1
Oncorhynchus nerka,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus nerka,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,5.452,1
Oncorhynchus nerka,2,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,4,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,5,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,7,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus nerka,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0,1
Oncorhynchus nerka,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Oncorhynchus tshawytscha,1,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.116,1
Oncorhynchus tshawytscha,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,8.722,1
Oncorhynchus tshawytscha,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,6.464,1
Oncorhynchus tshawytscha,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,6.158,1
Oncorhynchus tshawytscha,15,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.94,1
Oncorhynchus tshawytscha,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,2.596,1
Oncorhynchus tshawytscha,2,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,3,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,4,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,5,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,7,both eDNA/trawl,only eDNA,only eDNA,1,0,0
Oncorhynchus tshawytscha,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.46,1
Oncorhynchus tshawytscha,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.88,1
Ophiodon elongatus,14,only eDNA,only eDNA,only eDNA,1,0,0
Parophrys vetulus,9,only trawl,only trawl,only trawl,0,0.164,1
Pholis laeta,12,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,13,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,14,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,16,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,3,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,4,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,5,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,7,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,8,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta,9,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta/ornata,8,only eDNA,only eDNA,only eDNA,1,0,0
Pholis laeta/ornata,9,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,1,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,14,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,15,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,16,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,2,only eDNA,only eDNA,only eDNA,1,0,0
Phytichthys chirus,9,only eDNA,only eDNA,only eDNA,1,0,0
Pleuronectidae1,14,only eDNA,only eDNA,only eDNA,1,0,0
Reinhardtius hippoglossoides,9,only trawl,only trawl,only trawl,0,3.034,1
Salvelinus malma,1,only eDNA,only eDNA,only eDNA,1,0,0
Salvelinus malma,14,only eDNA,only eDNA,only eDNA,1,0,0
Salvelinus malma,15,only eDNA,only eDNA,only eDNA,1,0,0
Sebastes,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,10,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,12,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,13,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,10.15,1
Sebastes,3,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,4,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.246,1
Sebastes,6,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,7,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastes,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0,1
Sebastes,9,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Sebastolobus macrochir,15,only eDNA,only eDNA,only eDNA,1,0,0
Spirinchus starksi,3,only trawl,only trawl,only trawl,0,0.028,1
Squalus suckleyi,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,9.54,1
Squalus suckleyi,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,4.376,1
Squalus suckleyi,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,43.49,1
Squalus suckleyi,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,17.998,1
Squalus suckleyi,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.718,1
Squalus suckleyi,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.806,1
Squalus suckleyi,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.882,1
Squalus suckleyi,5,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,11.378,1
Squalus suckleyi,7,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,7.344,1
Squalus suckleyi,8,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Squalus suckleyi,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,15.92,1
Thaleichthys pacificus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.058,1
Thaleichthys pacificus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.34,1
Thaleichthys pacificus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.06,1
Thaleichthys pacificus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1,0,0
Thaleichthys pacificus,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.18,1
Thaleichthys pacificus,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.044,1
Thaleichthys pacificus,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,3.05,1
Thaleichthys pacificus,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.052,1
Thaleichthys pacificus,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.805,1
Thaleichthys pacificus,7,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.52,1
Thaleichthys pacificus,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.681,1
Thaleichthys pacificus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.584,1
Xiphister atropurpureus/mucosus,10,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,15,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,16,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,3,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,8,only eDNA,only eDNA,only eDNA,1,0,0
Zoarcidae,6,only trawl,only trawl,only trawl,0,0.07,1
