LCT,n,gamma_detection_method,beta_detection_method,alpha_detection_method
Allosmerus elongatus,2,both eDNA/trawl,only trawl,only trawl
Allosmerus elongatus,2,both eDNA/trawl,only eDNA,only eDNA
Alosa sapidissima,6,both eDNA/trawl,both eDNA/trawl,only eDNA
Alosa sapidissima,6,both eDNA/trawl,both eDNA/trawl,only trawl
Ammodytes hexapterus,6,both eDNA/trawl,only eDNA,only eDNA
Ammodytes hexapterus,6,both eDNA/trawl,both eDNA/trawl,only trawl
Ammodytes hexapterus,6,both eDNA/trawl,both eDNA/trawl,only eDNA
Anoplarchus insignis/purpurescens,2,only eDNA,only eDNA,only eDNA
Anoplopoma fimbria,12,both eDNA/trawl,both eDNA/trawl,only eDNA
Anoplopoma fimbria,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Anoplopoma fimbria,12,both eDNA/trawl,both eDNA/trawl,only trawl
Artedius harringtoni,1,only eDNA,only eDNA,only eDNA
Artedius lateralis,1,only eDNA,only eDNA,only eDNA
Ascelichthys rhodorus,1,only eDNA,only eDNA,only eDNA
Atheresthes stomias,3,only eDNA,only eDNA,only eDNA
Beringraja binoculata,1,only eDNA,only eDNA,only eDNA
Citharichthys sordidus,9,only eDNA,only eDNA,only eDNA
Citharichthys stigmaeus,6,only eDNA,only eDNA,only eDNA
Clinocottus acuticeps,1,only eDNA,only eDNA,only eDNA
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Cryptacanthodes giganteus,1,only eDNA,only eDNA,only eDNA
Cymatogaster aggregata,5,only eDNA,only eDNA,only eDNA
Diaphus theta,5,both eDNA/trawl,both eDNA/trawl,only eDNA
Diaphus theta,5,both eDNA/trawl,only trawl,only trawl
Diaphus theta,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Embiotoca lateralis,4,only eDNA,only eDNA,only eDNA
Engraulis mordax,5,both eDNA/trawl,both eDNA/trawl,only eDNA
Engraulis mordax,5,both eDNA/trawl,both eDNA/trawl,only trawl
Engraulis mordax,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Entosphenus tridentatus,1,only trawl,only trawl,only trawl
Eopsetta jordani,3,only eDNA,only eDNA,only eDNA
Gadus chalcogrammus,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Gadus chalcogrammus,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Gadus macrocephalus,14,only eDNA,only eDNA,only eDNA
Glyptocephalus zachirus,12,only eDNA,only eDNA,only eDNA
Gobiesox maeandricus,2,only eDNA,only eDNA,only eDNA
Hexagrammos decagrammus,6,only eDNA,only eDNA,only eDNA
Hippoglossoides elassodon,1,only eDNA,only eDNA,only eDNA
Hippoglossus stenolepis,5,only eDNA,only eDNA,only eDNA
Hydrolagus colliei,2,only eDNA,only eDNA,only eDNA
Icelinus borealis,1,only eDNA,only eDNA,only eDNA
Lepidopsetta bilineata/polyxystra,1,only eDNA,only eDNA,only eDNA
Leptoclinus maculatus,1,only eDNA,only eDNA,only eDNA
Liparidae1,1,only eDNA,only eDNA,only eDNA
Liparis dennyi/fucensis,2,only eDNA,only eDNA,only eDNA
Liparis fucensis,1,only eDNA,only eDNA,only eDNA
Liparis mucosus,2,only eDNA,only eDNA,only eDNA
Lycodapus mandibularis,2,only eDNA,only eDNA,only eDNA
Lyopsetta exilis,2,only eDNA,only eDNA,only eDNA
Mallotus villosus,2,both eDNA/trawl,only trawl,only trawl
Mallotus villosus,2,both eDNA/trawl,only eDNA,only eDNA
Merluccius productus,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Merluccius productus,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Microstomus pacificus,7,only eDNA,only eDNA,only eDNA
Odontopyxis trispinosa,1,only eDNA,only eDNA,only eDNA
Oligocottus maculosus/snyderi,2,only eDNA,only eDNA,only eDNA
Oncorhynchus gorbuscha,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus gorbuscha,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus keta,14,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus keta,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus keta,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,10,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus kisutch,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,10,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus mykiss,1,only eDNA,only eDNA,only eDNA
Oncorhynchus nerka,14,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus nerka,14,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus nerka,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus tshawytscha,14,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus tshawytscha,14,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus tshawytscha,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Ophiodon elongatus,1,only eDNA,only eDNA,only eDNA
Parophrys vetulus,1,only trawl,only trawl,only trawl
Pholis laeta,10,only eDNA,only eDNA,only eDNA
Pholis laeta/ornata,2,only eDNA,only eDNA,only eDNA
Phytichthys chirus,6,only eDNA,only eDNA,only eDNA
Pleuronectidae1,1,only eDNA,only eDNA,only eDNA
Reinhardtius hippoglossoides,1,only trawl,only trawl,only trawl
Salvelinus malma,3,only eDNA,only eDNA,only eDNA
Sebastes,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Sebastes,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Sebastolobus macrochir,1,only eDNA,only eDNA,only eDNA
Spirinchus starksi,1,only trawl,only trawl,only trawl
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Thaleichthys pacificus,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Thaleichthys pacificus,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Xiphister atropurpureus/mucosus,5,only eDNA,only eDNA,only eDNA
Zoarcidae,1,only trawl,only trawl,only trawl
