new,environment,max_length,common_length,in_range,length_length,notes,
Ammodytes personatus,demersal,15,10,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=487&GenusName=Ammodytes&SpeciesName=personatus&fc=402,
Anoplarchus purpurescens,demersal,10,NA,y,n,,
Artedius fenestralis,demersal,14,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4046&GenusName=Artedius&SpeciesName=fenestralis&fc=277,
Artedius harringtoni,demersal,10,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4047&GenusName=Artedius&SpeciesName=harringtoni&fc=277,
Ascelichthys rhodorus,demersal,15,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4051&GenusName=Ascelichthys&SpeciesName=rhodorus&fc=277,
Atheresthes evermanni,demersal,100,54,n,n,,"this is also known as Reinhardtius evermanni, Atheresthes evermanni is the CORRECT name (according to ITIS)"
Aulorhynchus flavidus,benthopelagic,18,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=3270&GenusName=Aulorhynchus&SpeciesName=flavidus&fc=572,
Citharichthys sordidus,demersal,41,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4215&GenusName=Citharichthys&SpeciesName=sordidus&fc=728,"this is in our dataset as: Citharichthys stigmaeus (but this is not recognized in IT IS), the difference is 'pacific' vs. 'speckled' "
Cottus asper,demersal,30,7,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4062&GenusName=Cottus&SpeciesName=asper&fc=277,
Cottus cognatus,demersal,12.1,7.5,n,,,freshwater spp. from east coast
Enophrys bison,demersal,37,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4086&GenusName=Enophrys&SpeciesName=bison&fc=277,
Gasterosteus aculeatus,benthopelagic,11,5.1,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=2420&GenusName=Gasterosteus&SpeciesName=aculeatus&fc=260,
Gibbonsia montereyensis,demersal,11,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=3726&GenusName=Gibbonsia&SpeciesName=montereyensis&fc=391,
Gobiesox maeandricus,demersal,16,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=3075&GenusName=Gobiesox&SpeciesName=maeandricus&fc=434,
Hemilepidotus hemilepidotus,demersal,51,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4093&GenusName=Hemilepidotus&SpeciesName=hemilepidotus&fc=277,
Hydrolagus colliei,demersal,100,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=2589&GenusName=Hydrolagus&SpeciesName=colliei&fc=25,
Icelinus borealis,demersal,10.2,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4099&GenusName=Icelinus&SpeciesName=borealis&fc=277,
Isopsetta isolepis,demersal,55,NA,y,n,,
Lepidopsetta bilineata,demersal,58,NA,y,n,,
Leptocottus armatus,demersal,46,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4112&GenusName=Leptocottus&SpeciesName=armatus&fc=277,
Liparis mucosus,demersal,13,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4197&GenusName=Liparis&SpeciesName=mucosus&fc=615,
Lycodapus mandibularis,bathypelagic,20,NA,y,n,,
Lyopsetta exilis,bathypelagic,35,NA,y,n,,
Oligocottus maculosus,demersal,8.9,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4128&GenusName=Oligocottus&SpeciesName=maculosus&fc=277,
Oncorhynchus mykiss,benthopelagic,122,60,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=239&GenusName=Oncorhynchus&SpeciesName=mykiss&fc=76,
Ophiodon elongatus,demersal,152,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=509&GenusName=Ophiodon&SpeciesName=elongatus&fc=271,
Raja rhina,bathydemersal,180,NA,y,n,,coming up as Beringraja rhina in FIshBase 
Salmo salar,benthopelagic,150,38,n,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=236&GenusName=Salmo&SpeciesName=salar&fc=76,out of range
Scorpaenichthys marmoratus,demersal,99,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4140&GenusName=Scorpaenichthys&SpeciesName=marmoratus&fc=774,
Sebastes sp.,,,,,,,
Sebastolobus macrochir,bathydemersal,44,26.4,y,n,,
Apodichthys flavidus,demersal,46,NA,y,n,,
Artedius lateralis,demersal,14,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4048&GenusName=Artedius&SpeciesName=lateralis&fc=277,
Brachyistius frenatus,demersal,22,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=3625&GenusName=Brachyistius&SpeciesName=frenatus&fc=348,
Clinocottus globiceps,demersal,19,NA,y,n,,
Embiotoca lateralis,demersal,38,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=3629&GenusName=Embiotoca&SpeciesName=lateralis&fc=348,
Liparis fucensis,bathydemersal,18,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=4193&GenusName=Liparis&SpeciesName=fucensis&fc=615,
Myoxocephalus jaok,demersal,74,NA,y,n,,
Rhacochilus vacca,demersal,44.2,NA,y,y,https://fishbase.se/popdyn/LLRelationshipList.php?ID=3640&GenusName=Phanerodon&SpeciesName=vacca&fc=348,