original_sample_name,ASV1,ASV10,ASV100,ASV101,ASV102,ASV104,ASV105,ASV106,ASV108,ASV109,ASV11,ASV110,ASV112,ASV113,ASV114,ASV115,ASV117,ASV118,ASV12,ASV120,ASV121,ASV122,ASV123,ASV124,ASV125,ASV126,ASV127,ASV128,ASV13,ASV130,ASV131,ASV132,ASV133,ASV134,ASV135,ASV137,ASV138,ASV139,ASV14,ASV140,ASV141,ASV145,ASV146,ASV147,ASV148,ASV149,ASV15,ASV151,ASV153,ASV155,ASV156,ASV160,ASV161,ASV162,ASV163,ASV164,ASV165,ASV166,ASV169,ASV17,ASV171,ASV175,ASV176,ASV177,ASV178,ASV179,ASV18,ASV180,ASV181,ASV182,ASV183,ASV185,ASV186,ASV188,ASV189,ASV19,ASV190,ASV191,ASV193,ASV194,ASV195,ASV196,ASV197,ASV199,ASV2,ASV20,ASV200,ASV201,ASV202,ASV203,ASV206,ASV207,ASV209,ASV21,ASV210,ASV211,ASV212,ASV215,ASV216,ASV217,ASV219,ASV22,ASV223,ASV225,ASV226,ASV227,ASV228,ASV229,ASV23,ASV230,ASV232,ASV235,ASV237,ASV24,ASV241,ASV242,ASV243,ASV244,ASV245,ASV247,ASV248,ASV249,ASV25,ASV251,ASV252,ASV253,ASV254,ASV255,ASV256,ASV257,ASV258,ASV259,ASV26,ASV261,ASV262,ASV263,ASV264,ASV265,ASV267,ASV268,ASV27,ASV271,ASV272,ASV273,ASV274,ASV275,ASV277,ASV278,ASV28,ASV280,ASV281,ASV282,ASV283,ASV285,ASV286,ASV288,ASV289,ASV29,ASV290,ASV291,ASV294,ASV295,ASV296,ASV297,ASV298,ASV3,ASV30,ASV301,ASV305,ASV306,ASV308,ASV309,ASV31,ASV311,ASV312,ASV313,ASV318,ASV319,ASV32,ASV320,ASV322,ASV325,ASV327,ASV328,ASV329,ASV33,ASV330,ASV331,ASV333,ASV335,ASV337,ASV338,ASV339,ASV34,ASV340,ASV342,ASV343,ASV344,ASV345,ASV347,ASV349,ASV35,ASV351,ASV352,ASV355,ASV356,ASV357,ASV358,ASV363,ASV365,ASV366,ASV367,ASV368,ASV369,ASV37,ASV371,ASV372,ASV373,ASV374,ASV375,ASV376,ASV378,ASV379,ASV38,ASV380,ASV381,ASV386,ASV387,ASV389,ASV39,ASV391,ASV392,ASV394,ASV396,ASV398,ASV4,ASV40,ASV401,ASV402,ASV405,ASV406,ASV408,ASV409,ASV41,ASV410,ASV411,ASV412,ASV413,ASV415,ASV418,ASV419,ASV42,ASV420,ASV421,ASV423,ASV424,ASV425,ASV426,ASV427,ASV428,ASV429,ASV43,ASV430,ASV433,ASV435,ASV436,ASV437,ASV438,ASV439,ASV44,ASV441,ASV442,ASV443,ASV444,ASV446,ASV447,ASV448,ASV449,ASV45,ASV450,ASV451,ASV452,ASV453,ASV454,ASV455,ASV457,ASV459,ASV46,ASV460,ASV461,ASV463,ASV466,ASV467,ASV468,ASV469,ASV47,ASV470,ASV471,ASV472,ASV473,ASV474,ASV475,ASV476,ASV477,ASV478,ASV479,ASV480,ASV482,ASV483,ASV484,ASV485,ASV486,ASV487,ASV488,ASV490,ASV492,ASV493,ASV495,ASV496,ASV497,ASV498,ASV5,ASV50,ASV501,ASV502,ASV504,ASV505,ASV507,ASV508,ASV509,ASV51,ASV510,ASV511,ASV512,ASV513,ASV514,ASV515,ASV516,ASV517,ASV518,ASV519,ASV52,ASV520,ASV521,ASV522,ASV523,ASV524,ASV525,ASV527,ASV53,ASV531,ASV532,ASV534,ASV535,ASV536,ASV537,ASV539,ASV54,ASV541,ASV542,ASV543,ASV545,ASV546,ASV547,ASV548,ASV549,ASV55,ASV550,ASV552,ASV553,ASV554,ASV555,ASV556,ASV557,ASV558,ASV559,ASV56,ASV560,ASV562,ASV564,ASV567,ASV568,ASV57,ASV570,ASV571,ASV572,ASV573,ASV576,ASV578,ASV58,ASV581,ASV582,ASV583,ASV584,ASV586,ASV587,ASV589,ASV59,ASV590,ASV591,ASV593,ASV595,ASV596,ASV597,ASV598,ASV6,ASV60,ASV600,ASV601,ASV602,ASV603,ASV604,ASV605,ASV606,ASV607,ASV608,ASV609,ASV61,ASV610,ASV612,ASV613,ASV614,ASV615,ASV616,ASV617,ASV618,ASV62,ASV620,ASV621,ASV622,ASV624,ASV627,ASV628,ASV629,ASV63,ASV630,ASV631,ASV632,ASV633,ASV634,ASV636,ASV637,ASV639,ASV64,ASV641,ASV642,ASV643,ASV645,ASV646,ASV65,ASV66,ASV67,ASV68,ASV7,ASV70,ASV71,ASV72,ASV73,ASV74,ASV75,ASV76,ASV77,ASV78,ASV79,ASV8,ASV80,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV9,ASV91,ASV93,ASV94,ASV96,ASV97,ASV99
E001,256,0,0,0,0,0,3154,0,0,0,0,0,176,0,425,0,0,0,5072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2897,0,6480,0,2619,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6722,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12295,0,0,0,0,0,0,0,9606,0,0,0,0,0,0,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E002,5392,7570,0,0,0,0,900,0,0,0,0,0,45,0,0,0,0,0,5731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,0,0,0,0,3513,0,0,0,0,0,0,2893,4662,0,0,129,0,0,2264,0,0,0,0,0,0,0,0,0,0,0,2072,0,0,0,0,2010,0,0,0,0,0,6874,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,1599,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,0,0,0,0,9893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24689,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,1960,6518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,265,0,0,0,260,0,0,0,0,0,963,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,24,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E003,18961,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,6983,0,0,0,0,2903,0,0,7793,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32334,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
E004,7434,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,2737,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941,0,0,38295,0,0,0,0,0,0,0,0,2860,18000,0,0,0,0,0,0,0,0,0,0,0,1520,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,21438,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22808,0,0,0,0,0,0,0,0,0,0,52,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,62,0,0,0,0,0,0,0,0,0,0,0,429,0,419,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E005,792,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,3205,0,0,0,0,0,0,0,0,0,5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,206,38,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0
E006,12657,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22617,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,29,0,0,0,0,0,0,0,0,0,0,0,0,9306,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3963,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0
E007,8850,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,3780,401,0,0,0,0,0,0,0,0,0,0,0,0,1115,0,0,0,0,0,0,0,1546,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,432,0,0,0,418,0,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6624,0,0,0,0,0,0,0,0
E008,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1264,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,0,0,0,0,2338,0,0,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,0,0,0,0,0,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4853,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8165,0,0,542,0,0,0,6589,0,0,0,0,0,0,0
