ASV,species
ASV10,Gadus macrocephalus
ASV102,Gadus chalcogrammus
ASV121,Gadus macrocephalus
ASV127,Gadus chalcogrammus
ASV132,Gadus chalcogrammus
ASV134,Sebastes
ASV137,Gadus chalcogrammus
ASV164,Gadus chalcogrammus
ASV173,Gadus chalcogrammus
ASV174,Sebastes
ASV177,Gadus chalcogrammus
ASV181,Gadus chalcogrammus
ASV183,Gadus macrocephalus
ASV192,Gadus chalcogrammus
ASV196,Sebastes
ASV2,Gadus chalcogrammus
ASV200,Gadus chalcogrammus
ASV202,Gadus chalcogrammus
ASV207,Alosa sapidissima
ASV215,Gadus chalcogrammus
ASV217,Gadus chalcogrammus
ASV218,Sebastes
ASV220,Sebastes
ASV221,Gadus chalcogrammus
ASV223,Gadus chalcogrammus
ASV225,Gadus chalcogrammus
ASV232,Gadus chalcogrammus
ASV236,Gadus chalcogrammus
ASV237,Gadus chalcogrammus
ASV252,Sebastes
ASV270,Gadus chalcogrammus
ASV272,Gadus macrocephalus
ASV275,Gadus chalcogrammus
ASV276,Gadus macrocephalus
ASV278,Gadus chalcogrammus
ASV281,Gadus macrocephalus
ASV284,Gadus chalcogrammus
ASV287,Sebastes
ASV288,Gadus chalcogrammus
ASV292,Gadus morhua
ASV293,Gadus chalcogrammus
ASV294,Gadus chalcogrammus
ASV295,Gadus chalcogrammus
ASV303,Gadus chalcogrammus
ASV31,Gadus chalcogrammus
ASV319,Gadus macrocephalus
ASV321,Gadus chalcogrammus
ASV337,Gadus chalcogrammus
ASV338,Gadus chalcogrammus
ASV339,Gadus chalcogrammus
ASV346,Clupea pallassi
ASV354,Gadus chalcogrammus
ASV375,Gadus chalcogrammus
ASV377,Gadus chalcogrammus
ASV379,Gadus chalcogrammus
ASV381,Gadus chalcogrammus
ASV392,Sebastes
ASV404,Gadus macrocephalus
ASV406,Sebastes
ASV407,Gadus chalcogrammus
ASV410,Gadus chalcogrammus
ASV414,Sebastes
ASV424,Clupea pallassi
ASV426,Gadus chalcogrammus
ASV427,Gadus chalcogrammus
ASV428,Gadus chalcogrammus
ASV435,Gadus macrocephalus
ASV437,Gadus chalcogrammus
ASV44,Gadus macrocephalus
ASV446,Sebastes
ASV456,Gadus chalcogrammus
ASV466,Gadus chalcogrammus
ASV468,Gadus chalcogrammus
ASV469,Gadus chalcogrammus
ASV48,Gadus chalcogrammus
ASV482,Gadus chalcogrammus
ASV483,Sebastes
ASV484,Gadus chalcogrammus
ASV492,Gadus chalcogrammus
ASV493,Gadus chalcogrammus
ASV498,Gadus macrocephalus
ASV499,Gadus macrocephalus
ASV505,Sebastes
ASV507,Gadus chalcogrammus
ASV508,Gadus macrocephalus
ASV511,Gadus chalcogrammus
ASV520,Gadus chalcogrammus
ASV522,Gadus chalcogrammus
ASV523,Gadus chalcogrammus
ASV528,Sebastes
ASV530,Gadus chalcogrammus
ASV537,Gadus chalcogrammus
ASV538,Sebastes
ASV549,Gadus chalcogrammus
ASV555,Gadus chalcogrammus
ASV560,Gadus macrocephalus
ASV561,Gadus chalcogrammus
ASV571,Gadus chalcogrammus
ASV572,Sebastes
ASV573,Gadus chalcogrammus
ASV587,Gadus chalcogrammus
ASV59,Clupea pallassi
ASV591,Gadus chalcogrammus
ASV592,Gadus chalcogrammus
ASV594,Gadus chalcogrammus
ASV6,Sebastes
ASV600,Gadus chalcogrammus
ASV601,Xiphister atropurpureus_mucosus
ASV603,Gadus chalcogrammus
ASV605,Sebastes
ASV623,Gadus chalcogrammus
ASV627,Gadus chalcogrammus
ASV628,Sebastes
ASV640,Gadus chalcogrammus
ASV642,Gadus chalcogrammus
ASV69,Clupea pallassi
ASV77,Gadus chalcogrammus
ASV79,Gadus chalcogrammus
ASV80,Gadus chalcogrammus
ASV88,Gadus chalcogrammus
ASV95,Gadus macrocephalus